,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors
1317,sc222,R:HP112,-4.0,0.0013914956579285673,0.0007102084266666556,2.963085886669474,0.8355165460031181,-0.0013693846927243097,0.0006898444747578179,0.0002470743397570941,0.0011748150494827396,5
1318,sc222,R:HP112,-2.0,0.0006441013036755235,0.0006923102109788795,2.981586599037875,1.8924224215109335,-0.0006358737589342869,0.0006725912897665217,0.00010262091451205008,0.0012299025313082584,5
1319,sc222,R:HP112,0.0,0.00028411407559057706,0.0017364970319542659,-2.0390650317924246,4.5255101551739685,-0.00012823262638224272,0.0010885258808984546,-0.0002535294883831076,0.0018664712810836722,5
1320,sc222,R:HP112,2.0,0.0007578886321770637,0.000866968065300731,-0.34885298302967876,1.8433527955057705,0.0007122375169258959,0.0007540880097648376,-0.00025906157234614085,0.0014610786176019364,5
1321,sc222,R:HP112,4.0,0.0019311787448814313,0.000729280073783291,0.23180195266878414,0.7981828909801735,0.0018795274570143075,0.0006504111393343184,0.00044365288572390833,0.0015763353193974441,5
1322,sc222,R:HP112,6.0,0.0022141945720114894,0.0006610819038724262,-0.14242463982921633,0.5951605662038926,0.002191775285296035,0.0006401141603034158,-0.00031429079129148487,0.0013281127207215556,5
1323,sc222,R:HP112,8.0,0.003130228371480234,0.0007449969526393851,-0.02905387207703202,0.652811001884439,0.003128907308515255,0.0007429400092563949,-9.093246031874988e-05,0.002044196264128024,5
1324,sc222,R:HP112,10.0,0.004072779716039987,0.0005596290304479518,0.14041142932927625,0.2790109354161945,0.0040326974555855615,0.0005415221861378826,0.0005699875850406704,0.0011450894611908262,5
1325,sc222,R:HP114,-10.0,0.003824778843885699,0.0007549110655747771,1.4248868129144552,0.25062848299644713,0.0005560935429565512,0.0009626082964487754,0.003784137045102576,0.0007497913749889029,5
1326,sc222,R:HP114,-8.0,0.002672017998189786,0.000811236318708632,1.33575042812247,0.35298269126889537,0.0006222799185665307,0.0009506120211103958,0.002598547264453541,0.000802510008345841,5
1327,sc222,R:HP114,-6.0,0.0022304792948132225,0.0009107756924734517,1.3398731917191105,0.431928335722199,0.0005105037408707633,0.000966398169258303,0.0021712723954279544,0.0009076014500328435,5
1328,sc222,R:HP114,-4.0,0.0014446318668476538,0.0010030159260726525,1.203177313888536,0.7598589488619182,0.0005191928192232066,0.0011133856197807891,0.0013481098053121621,0.0009855936374848328,5
1329,sc222,R:HP114,-2.0,0.0007220871763745191,0.0009039057721933278,1.3581584015367483,1.5014892131583504,0.00015238865960110815,0.001092258577084852,0.0007058240479818631,0.000894158669754712,5
