,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std,real,real-std,imag,imag-std,vectors,bare-vectors
6780,ss319,R:HP606,10.0,0.05253705961999367,0.013109011133956964,-2.27918133687564,0.2367293985449504,-0.03418104046427232,0.01035952095213009,-0.039897357134208125,0.014805644947244718,5,45
6781,ss319,R:HP608,-10.0,0.04729453979957278,0.007604439790799313,-0.3044217803585104,0.11829663759003034,0.04511995712608136,0.0077931232919211885,-0.014176140652305666,0.005328822897491804,5,45
6782,ss319,R:HP608,-8.0,0.03915991734850928,0.00808460310634008,-0.2747740812283246,0.17749284814019925,0.03769089259643226,0.008175129492017806,-0.010625240798508316,0.006843900839398508,5,45
6783,ss319,R:HP608,-6.0,0.03094824463967373,0.009049397656038974,-0.4049474367065823,0.37431626912254384,0.02844524676383567,0.008373648429483054,-0.012192693829568191,0.012081914682122994,5,45
6784,ss319,R:HP608,-4.0,0.020311414458622952,0.007346450170957283,-0.3639815423073499,0.3039303379990494,0.01898074899327363,0.007527483339282118,-0.007230817724455491,0.0059511681834201035,4,45
6785,ss319,R:HP608,-2.0,0.00989215961774425,0.008722299496682765,-0.4265677537492015,0.72854609127945,0.009005735027087994,0.009075364559860546,-0.004092866785617442,0.0067568921087131145,5,45
6786,ss319,R:HP608,0.0,0.004806394950487576,0.009519003334007303,-0.4043719036741122,1.3090917250223792,0.004418757744228785,0.010102032270883866,-0.0018910347479331542,0.0053056367834491735,4,45
6787,ss319,R:HP608,2.0,0.010501219305704095,0.00843074432888631,3.055412953488956,0.32429058584013304,-0.010462247468210568,0.008457230176861168,0.0009038721261406029,0.00333912772326872,4,45
6788,ss319,R:HP608,4.0,0.020053159842854065,0.007440011314219522,2.6379408373097344,0.27561176990243524,-0.017563077573049486,0.008134601472802249,0.0096781984814376,0.004441678261558555,4,45
6789,ss319,R:HP608,6.0,0.026768421479728674,0.008251386063892195,2.7390562074552265,0.2315910923868039,-0.024628829409109196,0.008640131778563294,0.010486617684143796,0.005644923571527782,5,45
6790,ss319,R:HP608,8.0,0.03969149705598964,0.008799792951967422,2.9336182967476057,0.1885854967130158,-0.03883619186299267,0.00885630307668994,0.008195434102380203,0.007418293601793871,5,45
6791,ss319,R:HP608,10.0,0.052860801596105365,0.012204727141297483,2.795538506978964,0.24764756063021698,-0.049727129805956005,0.012066724073889597,0.01792977709410848,0.013218163675584987,5,45
