,sext,bpm,sext-current,amplitude,amplitude-std,phase,phase-std
91,bare,R:HP616,0.0,0.015466472336489278,0.002432261811508016,0.5002594705691874,0.48694620654367976
92,bare,R:HP618,0.0,0.015224143903175495,0.0026431008847786035,0.12463970064080307,0.46707471251666455
93,bare,R:HP620,0.0,0.015604382279057378,0.002399774543266398,4.1053872583223905,0.48087973256418454
94,bare,R:HP622,0.0,0.015614948036263959,0.0023732775337041274,2.4549426945405783,0.47983220304050117
95,bare,R:HP624,0.0,0.014643970693900527,0.002439120974387173,0.33580484862498616,0.4696600324695766
96,bare,R:HP626,0.0,0.014453077411310683,0.0025296210499587486,5.0602270428451135,0.3935945851478285
97,bare,R:HP628,0.0,0.015173767146896678,0.0022131276613171847,3.1804550552163193,0.490096053102065
98,bare,R:HP630,0.0,0.015905001860406408,0.0019544340362948665,1.4335586510778666,0.44583207446656015
99,bare,R:HP632,0.0,0.014440588085285665,0.0017625033072319902,5.983863019321143,0.4135135942895348
100,bare,R:HP634,0.0,0.013649415851004477,0.001845080607286667,4.082741854357602,0.33355201162660486
101,bare,R:HP636,0.0,0.014579638186077444,0.002000633185382373,2.5727060117980725,0.4295908799042585
102,bare,R:HP638,0.0,0.015185656972453287,0.002196759546146389,0.6557156171744497,0.4879556607520819
103,bare,R:HP640,0.0,0.014838760462550156,0.0024134636020704003,5.3189481705142825,0.44307902600091076
104,sc220,R:HP100,0.0,0.014641130724094484,0.0018386909199205566,3.587134632368247,0.4809343207233928
105,sc220,R:HP102,0.0,0.014503789263282453,0.0017475368326410343,2.4162958442209552,0.39044925956724225
106,sc220,R:HP104,0.0,0.014607246726651972,0.0017697447896218256,0.1025389190079795,0.39636998738927914
107,sc220,R:HP106,0.0,0.015077291707081351,0.0021138572524677054,4.446831378963001,0.4865965234209533
108,sc220,R:HP108,0.0,0.014966032338412453,0.0019581982583567335,2.6958952437794537,0.3956257642953513
